Status,Side,Time,Local,Dirty Price,Yield,Quantity,MinInc,SetDt,EBND Seller Broker Code,EBND Buyer Broker Code,Price,Bid Type,UserName,Account,Seq#,Brkr,System #,Net,Security (ASX),Security,ISIN
Open,S,10:06:54,MH12030,,5.6301,10000000,,01/10/2021,,BRSV,131.05,,BRANDY LAUREANO,,23,BRSV,,13338082.19,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,S,10:06:34,COV2030,,6.1451,10000000,,06/10/2021,,BRSV,125,,BRANDY LAUREANO,,22,BRSV,,12606849.32,DRGB 10 02/28/30,DRGB 10 02/28/30,DO1005207829
Open,S,10:06:23,MH12031,,5.7585,10000000,,01/10/2021,,BRSV,121.05,,BRANDY LAUREANO,,21,BRSV,,12369657.53,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,S,10:06:15,MH12032,,5.9027,10000000,,01/10/2021,,BRSV,146.95,,BRANDY LAUREANO,,20,BRSV,,14780479.45,DRGB 12 03/05/32,DRGB 12 03/05/32,DO1005206011
Open,S,10:05:45,MH12035,,6.1222,10000000,,06/10/2021,,BRSV,142.7,,BRANDY LAUREANO,,19,BRSV,,14547089.04,DRGB 10 7/8 01/05/35,DRGB 10 7/8 01/05/35,DO1005207316
Open,S,10:05:30,MH12034,,5.9572,10000000,,05/10/2021,,BRSV,147.75,,BRANDY LAUREANO,,18,BRSV,,15045958.9,DRGB 11 1/2 01/11/34,DRGB 11 1/2 01/11/34,DO1005206722
Open,S,10:05:15,MH12035,,6.0059,10000000,,05/10/2021,,BRSV,144.05,,BRANDY LAUREANO,,17,BRSV,,14679109.59,DRGB 10 7/8 01/05/35,DRGB 10 7/8 01/05/35,DO1005207316
Open,B,10:03:36,MH12030,,5.4934,10000000,,06/10/2021,TIVA,,132.0758,,RAFAEL PENA,,2,TIVA,,13454874.52,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,S,10:01:27,COV2035,,6.1018,10000000,,06/10/2021,,BRSV,137.6,,BRANDY LAUREANO,,16,BRSV,,13869520.55,DRGB 10 1/4 02/28/35,DRGB 10 1/4 02/28/35,DO1005207928
Open,S,10:01:21,CDEEE23,,1.5467,500000,,01/10/2021,,BRSV,109.8,,OSCAR YEPEZ,,15,BRSV,,554945.21,DRGB 7 07/31/23,DRGB 7 07/31/23,DO1005244525
Open,S,10:01:17,MH12040,,6.9025,10000000,,06/10/2021,,BRSV,146,,BRANDY LAUREANO,,14,BRSV,,14886712.33,DRGB 11 3/8 01/06/40,DRGB 11 3/8 01/06/40,DO1005207415
Open,S,10:01:02,COV2040,,6.9054,10000000,,06/10/2021,,BRSV,141,,BRANDY LAUREANO,,13,BRSV,,14216198.63,DRGB 10 7/8 02/28/40,DRGB 10 7/8 02/28/40,DO1005208025
Open,S,10:00:52,MH12030,,5.6366,10000000,,01/10/2021,,BRSV,131,,OSCAR YEPEZ,,12,BRSV,,13333082.19,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,S,10:00:36,INF2040,,6.9054,10000000,,06/10/2021,,BRSV,141,,BRANDY LAUREANO,,11,BRSV,,14216198.63,DRGB 10 7/8 02/28/40,DRGB 10 7/8 02/28/40,DO1005208124
Open,S,09:59:45,MH12034,,5.9643,10000000,,01/10/2021,,BRSV,147.7,,OSCAR YEPEZ,,10,BRSV,,15028356.16,DRGB 11 1/2 01/11/34,DRGB 11 1/2 01/11/34,DO1005206722
Open,S,09:59:11,MH12032,,5.9047,10000000,,01/10/2021,,BRSV,146.93,,OSCAR YEPEZ,,9,BRSV,,14778479.45,DRGB 12 03/05/32,DRGB 12 03/05/32,DO1005206011
Open,S,09:58:59,MH12029,,5.4591,10000000,,01/10/2021,,BRSV,137,,OSCAR YEPEZ,,8,BRSV,,13971130.14,DRGB 11 3/8 07/06/29,DRGB 11 3/8 07/06/29,DO1005204412
Open,S,09:58:39,MH22029,,5.506,10000000,,30/09/2021,,BRSV,133.91,,OSCAR YEPEZ,,7,BRSV,,13818054.79,DRGB 10 3/4 11/08/29,DRGB 10 3/4 11/08/29,DO1005207027
Open,S,09:58:24,MH32028,,5.3745,10000000,,01/10/2021,,BRSV,130.5,,OSCAR YEPEZ,,6,BRSV,,13203150.68,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,S,09:58:18,MH42028,,5.3809,10000000,,01/10/2021,,BRSV,114.55,,OSCAR YEPEZ,,5,BRSV,,11700479.45,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,S,09:48:19,MH12030,,5.7658,10000000,,01/10/2021,,BRSV,130,,OSCAR YEPEZ,,4,BRSV,,13233082.19,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,B,09:48:12,MH12030,,5.5097,10000000,,30/09/2021,BRSV,,132,,OSCAR YEPEZ,,3,BRSV,,13430239.73,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,S,09:47:47,MH12031,,5.7645,10000000,,01/10/2021,,BRSV,121,,OSCAR YEPEZ,,2,BRSV,,12364657.53,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,S,09:37:40,MH12031,,6.0056,10000000,,06/10/2021,,CCIP,119,,JOSE CENDON,,10,CCIP,,12176472.6,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,B,09:23:30,MH32028,,5.1997,10000000,,06/10/2021,CCIP,,131.625,,JOSE CENDON,,9,CCIP,,13330376.71,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,S,09:23:05,MH32028,,5.5559,10000000,,05/10/2021,,CCIP,129.25,,JOSE CENDON,,8,CCIP,,13089931.51,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,B,09:22:31,MH42028,,5.1997,10000000,,06/10/2021,CCIP,,115.625,,JOSE CENDON,,7,CCIP,,11818938.36,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,S,09:22:07,MH42028,,5.5526,10000000,,05/10/2021,,CCIP,113.5,,JOSE CENDON,,6,CCIP,,11604246.58,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,B,09:18:19,MH12035,,5.6967,10000000,,06/10/2021,CCIP,,147.7,,JOSE CENDON,,5,CCIP,,15047089.04,DRGB 10 7/8 01/05/35,DRGB 10 7/8 01/05/35,DO1005207316
Open,S,09:17:50,MH12035,,6.0961,10000000,,06/10/2021,,CCIP,143,,JOSE CENDON,,4,CCIP,,14577089.04,DRGB 10 7/8 01/05/35,DRGB 10 7/8 01/05/35,DO1005207316
Open,B,09:16:40,MH12031,,5.5972,10000000,,06/10/2021,CCIP,,122.375,,JOSE CENDON,,3,CCIP,,12513972.6,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,S,09:16:25,MH12031,,5.8836,10000000,,05/10/2021,,CCIP,120,,JOSE CENDON,,2,CCIP,,12274109.59,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,B,09:04:46,MH42028,,5,10000000,,30/09/2021,PARA,,116.8869,,JEAN ELMUDESI,,2,PADR,,11931977.67,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
